기간,자치구,구분,합계,5년 미만,10년 미만,15년 미만,15년 이상,기타불명
2014,성북구,부상자수,2227,330,268,334,1170,125
2014,강북구,발생건수,1313,222,146,182,674,89
2014,강북구,사망자수,12,4,-,1,7,-
2014,강북구,부상자수,1773,292,225,258,902,96
2014,도봉구,발생건수,919,128,95,110,500,86
2014,도봉구,사망자수,14,2,-,1,9,2
2014,도봉구,부상자수,1205,161,135,147,670,92
2014,노원구,발생건수,1516,206,161,195,838,116
2014,노원구,사망자수,17,-,4,1,11,1
2014,노원구,부상자수,2038,278,224,245,1163,128
2014,은평구,발생건수,1325,218,163,163,649,132
2014,은평구,사망자수,11,2,1,3,5,-
2014,은평구,부상자수,1889,325,232,264,917,151
2014,서대문구,발생건수,1122,148,128,165,605,76
2014,서대문구,사망자수,16,3,1,3,7,2
2014,서대문구,부상자수,1590,217,177,244,867,85
2014,마포구,발생건수,1759,273,230,264,862,130
2014,마포구,사망자수,20,5,2,-,12,1
2014,마포구,부상자수,2633,412,388,405,1252,176
2014,양천구,발생건수,1466,230,138,193,757,148
2014,양천구,사망자수,13,1,1,3,7,1
2014,양천구,부상자수,2000,329,197,271,1046,157
2014,강서구,발생건수,1806,251,209,270,936,140
2014,강서구,사망자수,32,6,3,5,17,1
2014,강서구,부상자수,2614,357,305,431,1344,177
2014,구로구,발생건수,1566,268,196,235,740,127
2014,구로구,사망자수,19,4,1,-,13,1
2014,구로구,부상자수,2205,380,283,342,1050,150
2014,금천구,발생건수,1029,170,131,158,498,72
2014,금천구,사망자수,13,3,1,-,9,-
2014,금천구,부상자수,1535,236,217,244,748,90
2014,영등포구,발생건수,2193,398,250,289,1064,192
2014,영등포구,사망자수,26,5,1,1,19,-
2014,영등포구,부상자수,3128,590,393,410,1511,224
2014,동작구,발생건수,1399,246,182,188,690,93
2014,동작구,사망자수,13,2,1,5,4,1
2014,동작구,부상자수,1901,324,271,249,951,106
2014,관악구,발생건수,1716,303,213,268,804,128
2014,관악구,사망자수,22,1,5,2,13,1
2014,관악구,부상자수,2317,433,305,359,1073,147
2014,서초구,발생건수,2217,267,276,320,1190,164
2014,서초구,사망자수,13,3,3,2,5,-
2014,서초구,부상자수,3446,411,421,470,1921,223
2014,강남구,발생건수,3624,486,455,598,1810,275
2014,강남구,사망자수,17,2,1,6,8,-
2014,강남구,부상자수,5269,741,667,837,2679,345
2014,송파구,발생건수,2608,356,291,387,1357,217
2014,송파구,사망자수,24,6,2,3,13,-
2014,송파구,부상자수,3635,520,440,541,1886,248
2014,강동구,발생건수,1442,197,159,238,715,133
2014,강동구,사망자수,14,-,2,4,8,-
2014,강동구,부상자수,2014,295,225,329,1015,150
2015,합계,발생건수,41665,6165,4984,5528,21679,3309
2015,합계,사망자수,376,52,41,47,213,23
2015,합계,부상자수,58656,9016,7304,8053,30349,3934
2015,종로구,발생건수,1414,174,165,176,819,80
2015,종로구,사망자수,8,2,1,-,5,-
2015,종로구,부상자수,1933,256,224,244,1120,89
2015,중구,발생건수,1338,160,160,175,770,73
2015,중구,사망자수,8,-,1,-,7,-
2015,중구,부상자수,1803,240,231,232,1014,86
2015,용산구,발생건수,1516,190,186,200,801,139
2015,용산구,사망자수,18,1,2,3,9,3
2015,용산구,부상자수,2110,275,261,294,1074,206
2015,성동구,발생건수,1227,171,160,156,637,103
2015,성동구,사망자수,8,-,4,-,2,2
2015,성동구,부상자수,1725,250,237,219,892,127
2015,광진구,발생건수,1235,184,151,143,656,101
2015,광진구,사망자수,17,2,3,1,10,1
2015,광진구,부상자수,1744,264,224,225,911,120
2015,동대문구,발생건수,2085,292,234,270,1117,172
2015,동대문구,사망자수,16,4,-,4,8,-
2015,동대문구,부상자수,2731,422,314,370,1435,190
2015,중랑구,발생건수,1722,250,227,221,875,149
2015,중랑구,사망자수,16,8,-,-,7,1
2015,중랑구,부상자수,2269,352,293,303,1147,174
2015,성북구,발생건수,1680,253,201,226,902,98
2015,성북구,사망자수,19,4,-,4,9,2
2015,성북구,부상자수,2286,360,271,292,1258,105
2015,강북구,발생건수,1265,221,138,160,634,112
2015,강북구,사망자수,16,1,1,1,13,-
2015,강북구,부상자수,1684,309,176,227,846,126
2015,도봉구,발생건수,914,141,102,121,479,71
2015,도봉구,사망자수,8,2,-,1,5,-
2015,도봉구,부상자수,1255,201,145,182,643,84
2015,노원구,발생건수,1459,217,157,202,748,135
2015,노원구,사망자수,15,1,1,1,8,4
2015,노원구,부상자수,2098,331,242,311,1063,151
2015,은평구,발생건수,1203,183,122,141,627,130
2015,은평구,사망자수,16,1,3,-,10,2
2015,은평구,부상자수,1673,256,166,225,872,154
2015,서대문구,발생건수,1071,136,130,154,569,82
2015,서대문구,사망자수,13,1,-,2,10,-
2015,서대문구,부상자수,1492,188,192,232,779,101
2015,마포구,발생건수,1802,274,251,248,874,155
2015,마포구,사망자수,17,1,2,3,10,1
2015,마포구,부상자수,2730,422,433,389,1310,176
2015,양천구,발생건수,1596,265,182,201,820,128
2015,양천구,사망자수,14,1,1,1,9,2
2015,양천구,부상자수,2231,375,260,285,1165,146
2015,강서구,발생건수,1932,302,215,223,1014,178
2015,강서구,사망자수,12,4,-,4,4,-
2015,강서구,부상자수,2762,437,327,351,1444,203
2015,구로구,발생건수,1508,295,196,181,731,105
2015,구로구,사망자수,19,2,-,1,15,1
2015,구로구,부상자수,2127,437,320,253,986,131
2015,금천구,발생건수,914,163,107,114,464,66
2015,금천구,사망자수,10,1,1,3,5,-
2015,금천구,부상자수,1374,246,156,178,702,92
2015,영등포구,발생건수,2462,366,282,337,1275,202
2015,영등포구,사망자수,28,3,2,5,15,3
2015,영등포구,부상자수,3564,556,422,468,1892,226
2015,동작구,발생건수,1386,251,171,191,671,102
2015,동작구,사망자수,7,2,-,1,4,-
2015,동작구,부상자수,1994,360,257,267,982,128
2015,관악구,발생건수,1625,295,200,223,794,113
2015,관악구,사망자수,12,3,4,-,5,-
2015,관악구,부상자수,2135,391,266,298,1049,131
2015,서초구,발생건수,2160,259,239,294,1231,137
2015,서초구,사망자수,20,1,6,1,12,-
2015,서초구,부상자수,3358,431,361,516,1875,175
2015,강남구,발생건수,3970,552,518,604,1995,301
2015,강남구,사망자수,20,2,2,8,8,-
2015,강남구,부상자수,5686,839,773,898,2808,368
2015,송파구,발생건수,2687,356,304,387,1386,254
2015,송파구,사망자수,16,2,1,2,11,-
2015,송파구,부상자수,3763,513,461,552,1940,297
2015,강동구,발생건수,1494,215,186,180,790,123
2015,강동구,사망자수,23,3,6,1,12,1
2015,강동구,부상자수,2129,305,292,242,1142,148
2016,합계,발생건수,40039,5406,4409,4600,22463,3161
2016,합계,사망자수,348,46,36,27,217,22
2016,합계,부상자수,55669,7753,6319,6506,31421,3670
2016,종로구,발생건수,1299,160,137,154,795,53
2016,종로구,사망자수,9,-,-,1,8,-
2016,종로구,부상자수,1748,214,193,200,1077,64
2016,중구,발생건수,1288,147,144,147,788,62
2016,중구,사망자수,17,4,2,1,10,-
2016,중구,부상자수,1716,195,194,194,1054,79
2016,용산구,발생건수,1428,168,176,149,813,122
2016,용산구,사망자수,12,1,1,-,9,1
2016,용산구,부상자수,2069,240,258,223,1179,169
2016,성동구,발생건수,1099,164,137,126,588,84
2016,성동구,사망자수,15,2,2,-,10,1
2016,성동구,부상자수,1541,224,183,182,845,107
2016,광진구,발생건수,1045,141,136,111,568,89
2016,광진구,사망자수,9,1,3,1,3,1
2016,광진구,부상자수,1466,222,184,149,811,100
2016,동대문구,발생건수,2051,272,225,232,1151,171
2016,동대문구,사망자수,14,-,3,2,8,1
2016,동대문구,부상자수,2629,342,294,313,1481,199
2016,중랑구,발생건수,1535,207,134,168,886,140
2016,중랑구,사망자수,9,-,1,2,6,-
2016,중랑구,부상자수,2030,273,171,232,1196,158
2016,성북구,발생건수,1618,217,188,186,952,75
2016,성북구,사망자수,13,3,1,1,8,-
2016,성북구,부상자수,2106,296,233,229,1264,84
2016,강북구,발생건수,1227,152,140,97,768,70
2016,강북구,사망자수,15,1,2,-,11,1
2016,강북구,부상자수,1678,238,192,126,1041,81
2016,도봉구,발생건수,949,150,94,80,547,78
2016,도봉구,사망자수,11,1,1,1,7,1
2016,도봉구,부상자수,1306,204,136,109,765,92
2016,노원구,발생건수,1535,221,177,188,831,118
2016,노원구,사망자수,13,1,1,2,8,1
2016,노원구,부상자수,2216,322,281,265,1213,135
2016,은평구,발생건수,1121,172,86,117,656,90
2016,은평구,사망자수,14,1,-,-,11,2
2016,은평구,부상자수,1518,242,111,154,909,102
2016,서대문구,발생건수,1135,160,118,130,650,77
2016,서대문구,사망자수,14,4,1,-,9,-
2016,서대문구,부상자수,1566,218,161,201,900,86
2016,마포구,발생건수,1768,289,173,204,974,128
